2024-12-17T09:48:03 - ALLOW - Source: 172.16.0.2, Destination: 192.168.1.1
2024-12-17T10:14:51 - PORT_SCAN - Source: 192.168.1.3, Destination: 10.0.0.4
2024-12-17T09:41:04 - ALLOW - Source: 172.16.0.3, Destination: 172.16.0.3
2024-12-17T09:43:12 - INTRUSION_DETECTED - Source: 172.16.0.3, Destination: 172.16.0.4
2024-12-17T09:30:32 - ALLOW - Source: 192.168.1.2, Destination: 10.0.0.4
2024-12-17T10:24:45 - INTRUSION_DETECTED - Source: 10.0.0.4, Destination: 10.0.0.4
2024-12-17T09:57:08 - INTRUSION_DETECTED - Source: 192.168.1.1, Destination: 172.16.0.2
2024-12-17T10:13:47 - DENY - Source: 172.16.0.2, Destination: 172.16.0.1
2024-12-17T09:51:25 - DENY - Source: 172.16.0.4, Destination: 10.0.0.1
2024-12-17T09:56:02 - ALLOW - Source: 192.168.1.1, Destination: 192.168.1.4
2024-12-17T09:29:06 - PORT_SCAN - Source: 172.16.0.2, Destination: 172.16.0.2
2024-12-17T09:58:39 - DENY - Source: 192.168.1.4, Destination: 172.16.0.2
2024-12-17T09:39:31 - INTRUSION_DETECTED - Source: 172.16.0.3, Destination: 172.16.0.4
2024-12-17T09:51:41 - DENY - Source: 192.168.1.2, Destination: 192.168.1.4
2024-12-17T10:13:55 - PORT_SCAN - Source: 172.16.0.1, Destination: 172.16.0.4
2024-12-17T10:18:17 - PORT_SCAN - Source: 10.0.0.3, Destination: 172.16.0.1
2024-12-17T10:27:58 - SYN_FLOOD - Source: 10.0.0.4, Destination: 10.0.0.1
2024-12-17T09:49:23 - DENY - Source: 172.16.0.4, Destination: 192.168.1.2
2024-12-17T10:09:32 - SYN_FLOOD - Source: 192.168.1.4, Destination: 10.0.0.4
2024-12-17T10:21:33 - INTRUSION_DETECTED - Source: 10.0.0.2, Destination: 172.16.0.4
2024-12-17T09:28:42 - PORT_SCAN - Source: 172.16.0.1, Destination: 172.16.0.4
2024-12-17T09:59:04 - SYN_FLOOD - Source: 172.16.0.1, Destination: 10.0.0.3
2024-12-17T10:13:39 - DENY - Source: 192.168.1.4, Destination: 172.16.0.4
2024-12-17T09:52:29 - DENY - Source: 172.16.0.1, Destination: 10.0.0.4
2024-12-17T10:27:05 - DENY - Source: 172.16.0.2, Destination: 10.0.0.1
2024-12-17T10:08:26 - INTRUSION_DETECTED - Source: 10.0.0.3, Destination: 172.16.0.2
2024-12-17T09:49:27 - DENY - Source: 10.0.0.4, Destination: 172.16.0.2
2024-12-17T10:08:54 - INTRUSION_DETECTED - Source: 10.0.0.3, Destination: 172.16.0.4
2024-12-17T10:26:00 - DENY - Source: 10.0.0.1, Destination: 192.168.1.1
2024-12-17T10:16:53 - INTRUSION_DETECTED - Source: 10.0.0.2, Destination: 172.16.0.4
2024-12-17T09:31:04 - INTRUSION_DETECTED - Source: 192.168.1.3, Destination: 172.16.0.1
2024-12-17T10:00:57 - PORT_SCAN - Source: 172.16.0.4, Destination: 10.0.0.3
2024-12-17T09:46:38 - SYN_FLOOD - Source: 10.0.0.2, Destination: 172.16.0.2
2024-12-17T09:51:54 - DENY - Source: 10.0.0.1, Destination: 172.16.0.1
2024-12-17T10:23:37 - ALLOW - Source: 192.168.1.3, Destination: 172.16.0.1
2024-12-17T09:34:03 - ALLOW - Source: 10.0.0.4, Destination: 192.168.1.2
2024-12-17T09:41:09 - INTRUSION_DETECTED - Source: 192.168.1.3, Destination: 10.0.0.1
2024-12-17T09:56:59 - SYN_FLOOD - Source: 172.16.0.1, Destination: 10.0.0.3
2024-12-17T09:49:02 - INTRUSION_DETECTED - Source: 172.16.0.4, Destination: 172.16.0.3
2024-12-17T09:37:41 - INTRUSION_DETECTED - Source: 172.16.0.1, Destination: 192.168.1.1
2024-12-17T09:54:26 - ALLOW - Source: 10.0.0.2, Destination: 172.16.0.3
2024-12-17T10:24:40 - INTRUSION_DETECTED - Source: 172.16.0.3, Destination: 192.168.1.4
2024-12-17T10:20:57 - INTRUSION_DETECTED - Source: 10.0.0.3, Destination: 172.16.0.3
2024-12-17T09:52:21 - SYN_FLOOD - Source: 192.168.1.1, Destination: 192.168.1.2
2024-12-17T10:08:08 - ALLOW - Source: 10.0.0.4, Destination: 192.168.1.2
2024-12-17T09:30:58 - DENY - Source: 172.16.0.4, Destination: 172.16.0.1
2024-12-17T09:35:11 - INTRUSION_DETECTED - Source: 192.168.1.4, Destination: 192.168.1.1
2024-12-17T09:44:08 - ALLOW - Source: 172.16.0.3, Destination: 172.16.0.4
2024-12-17T10:17:50 - INTRUSION_DETECTED - Source: 10.0.0.3, Destination: 10.0.0.2
2024-12-17T10:06:48 - ALLOW - Source: 192.168.1.2, Destination: 192.168.1.2
2024-12-17T10:27:53 - ALLOW - Source: 192.168.1.2, Destination: 172.16.0.1
2024-12-17T09:30:35 - DENY - Source: 192.168.1.4, Destination: 10.0.0.2
2024-12-17T09:55:06 - ALLOW - Source: 10.0.0.2, Destination: 192.168.1.3
2024-12-17T10:25:12 - ALLOW - Source: 10.0.0.3, Destination: 172.16.0.2
2024-12-17T09:29:30 - ALLOW - Source: 192.168.1.3, Destination: 192.168.1.2
2024-12-17T10:10:24 - INTRUSION_DETECTED - Source: 172.16.0.2, Destination: 172.16.0.1
2024-12-17T09:30:31 - SYN_FLOOD - Source: 10.0.0.1, Destination: 172.16.0.2
2024-12-17T09:33:22 - SYN_FLOOD - Source: 192.168.1.1, Destination: 192.168.1.4
2024-12-17T10:27:42 - DENY - Source: 10.0.0.2, Destination: 192.168.1.3
2024-12-17T09:35:24 - PORT_SCAN - Source: 10.0.0.3, Destination: 192.168.1.4
2024-12-17T10:14:01 - INTRUSION_DETECTED - Source: 172.16.0.4, Destination: 192.168.1.3
2024-12-17T10:10:46 - DENY - Source: 172.16.0.3, Destination: 10.0.0.1
2024-12-17T09:28:30 - DENY - Source: 10.0.0.3, Destination: 172.16.0.1
2024-12-17T10:28:01 - ALLOW - Source: 192.168.1.3, Destination: 192.168.1.4
2024-12-17T09:43:05 - DENY - Source: 172.16.0.2, Destination: 172.16.0.1
2024-12-17T10:13:51 - INTRUSION_DETECTED - Source: 192.168.1.3, Destination: 10.0.0.2
2024-12-17T09:40:41 - SYN_FLOOD - Source: 172.16.0.4, Destination: 192.168.1.3
2024-12-17T09:53:07 - DENY - Source: 10.0.0.1, Destination: 172.16.0.3
2024-12-17T10:08:50 - DENY - Source: 172.16.0.3, Destination: 10.0.0.2
